Назва препарату,Показання_clean
Ананас-Ф супер (Ananas-F super),"Дієтична добавка рекомендована для осіб, що контролюють масу тіла. Дієтична добавка рекомендована для осіб, що контролюють масу тіла. Дієтична добавка рекомендована для осіб, що контролюють масу тіла. Склад Екстракт ананаса, 80% (бромелайн), допоміжні речовини"
Анантаваті (Anantavati),
Анантаваті кідс (Anantavati kids),
Анапірон (Anapiron),"Короткочасне лікування больового синдрому середньої інтенсивності, особливо в післяопераційному періоді, або короткочасне лікування гарячки, коли введення внутрішньовенним способом клінічно обгрунтоване нагальною потребою лікування болю або гіпертермії, та/або коли інші шляхи введення недоступні. Короткочасне лікування больового синдрому середньої інтенсивності, особливо в післяопераційному періоді, або короткочасне лікування гарячки, коли введення внутрішньовенним способом клінічно обгрунтоване нагальною потребою лікування болю або гіпертермії, та/або коли інші шляхи введення недоступні. Короткочасне лікування больового синдрому середньої інтенсивності, особливо в післяопераційному періоді, або короткочасне лікування гарячки, коли введення внутрішньовенним способом клінічно обгрунтоване нагальною потребою лікування болю або гіпертермії, та/або коли інші шляхи введення недоступні. Підвищена чутливість до парацетамолу або до гідрохлориду пропацетамолу (проліки парацетамолу) та інших компонентів препарату. Тяжка гепатоцелюлярна недостатність. . Необхідно бути обережним при призначенні та застосуванні Анапірону, щоб уникнути помилок в дозуванні через плутанину між міліграмами (мг) і мілілітрами (мл), що може призвести до випадкового та летального наслідку. При призначенні необхідно вказати загальну дозу в міліграмах і об’єм загальної дози в мілілітрах. Для уникнення необхідно впевнитися, що інші призначені лікарські засоби не містять парацетамол"
Анаприлін-Здоров'я (Anaprilin-Zdorovye),
Анастрозол Дженефарм,"Анастрозол Дженефарм показаний для: ад’ювантного лікування інвазивного раку молочної залози з позитивними показниками рецепторів гормонів на ранніх стадіях у жінок у постменопаузному періоді; ад’ювантного лікування інвазивного раку молочної залози з позитивними показниками рецепторів гормонів на ранніх стадіях у жінок у постменопаузному періоді, яким було проведено ад’ювантну терапію тамоксифеном протягом 2–3 років; лікування поширеного раку молочної залози з позитивними показниками рецепторів гормонів у жінок у постменопаузному періоді. Анастрозол Дженефарм показаний для: ад’ювантного лікування інвазивного раку молочної залози з позитивними показниками рецепторів гормонів на ранніх стадіях у жінок у постменопаузному періоді; ад’ювантного лікування інвазивного раку молочної залози з позитивними показниками рецепторів гормонів на ранніх стадіях у жінок у постменопаузному періоді, яким було проведено ад’ювантну терапію тамоксифеном протягом 2–3 років; лікування поширеного раку молочної залози з позитивними показниками рецепторів гормонів у жінок у постменопаузному періоді. Анастрозол Дженефарм показаний для: ад’ювантного лікування інвазивного раку молочної залози з позитивними показниками рецепторів гормонів на ранніх стадіях у жінок у постменопаузному періоді; ад’ювантного лікування інвазивного раку молочної залози з позитивними показниками рецепторів гормонів на ранніх стадіях у жінок у постменопаузному періоді, яким було проведено ад’ювантну терапію тамоксифеном протягом 2–3 років; лікування поширеного раку молочної залози з позитивними показниками рецепторів гормонів у жінок у постменопаузному періоді. Анастрозол Дженефарм протипоказаний пацієнткам: у періоди вагітності та годування груддю; з гіперчутливістю до анастрозолу або до будь-якої з допоміжних речовин. . Невикористаний лікарський засіб або відходи повинні бути утилізовані відповідно до місцевих вимог"
Анастрозол Сандоз (ANASTROZOL SANDOZ ),"Лікування поширеного раку молочної залози з позитивними показниками рецепторів гормонів у жінок у постменопаузальному періоді. Ад’ювантне лікування інвазивного раку молочної залози на ранніх стадіях з позитивними показниками рецепторів гормонів у пацієнток у постменопаузальному періоді. Ад’ювантне лікування інвазивного раку молочної залози з позитивними показниками рецепторів гормонів на ранніх стадіях у пацієнток у постменопаузальному періоді, яким була проведена ад’ювантна терапія тамоксифеном протягом 2–3 років. Лікування поширеного раку молочної залози з позитивними показниками рецепторів гормонів у жінок у постменопаузальному періоді. Ад’ювантне лікування інвазивного раку молочної залози на ранніх стадіях з позитивними показниками рецепторів гормонів у пацієнток у постменопаузальному періоді. Ад’ювантне лікування інвазивного раку молочної залози з позитивними показниками рецепторів гормонів на ранніх стадіях у пацієнток у постменопаузальному періоді, яким була проведена ад’ювантна терапія тамоксифеном протягом 2–3 років. Лікування поширеного раку молочної залози з позитивними показниками рецепторів гормонів у жінок у постменопаузальному періоді. Ад’ювантне лікування інвазивного раку молочної залози на ранніх стадіях з позитивними показниками рецепторів гормонів у пацієнток у постменопаузальному періоді. Ад’ювантне лікування інвазивного раку молочної залози з позитивними показниками рецепторів гормонів на ранніх стадіях у пацієнток у постменопаузальному періоді, яким була проведена ад’ювантна терапія тамоксифеном протягом 2–3 років. Анастрозол САНДОЗ протипоказаний пацієнткам: у період вагітності та годування груддю; з відомою гіперчутливістю до анастрозолу або до інших компонентів препарату"
Анастрозол-Віста (Anastrozol-Vista),"Ад’ювантне лікування інвазивного раку молочної залози з позитивними показниками рецепторів гормонів на ранніх стадіях у жінок у постменопаузальному періоді. Ад’ювантне лікування інвазивного раку молочної залози з позитивними показниками рецепторів гормонів на ранніх стадіях у жінок у постменопаузальному періоді, яким було проведено ад’ювантну терапію тамоксифеном протягом 2–3 років. Лікування поширеного раку молочної залози з позитивними показниками рецепторів гормонів у жінок у постменопаузальному періоді. Ад’ювантне лікування інвазивного раку молочної залози з позитивними показниками рецепторів гормонів на ранніх стадіях у жінок у постменопаузальному періоді. Ад’ювантне лікування інвазивного раку молочної залози з позитивними показниками рецепторів гормонів на ранніх стадіях у жінок у постменопаузальному періоді, яким було проведено ад’ювантну терапію тамоксифеном протягом 2–3 років. Лікування поширеного раку молочної залози з позитивними показниками рецепторів гормонів у жінок у постменопаузальному періоді. Ад’ювантне лікування інвазивного раку молочної залози з позитивними показниками рецепторів гормонів на ранніх стадіях у жінок у постменопаузальному періоді. Ад’ювантне лікування інвазивного раку молочної залози з позитивними показниками рецепторів гормонів на ранніх стадіях у жінок у постменопаузальному періоді, яким було проведено ад’ювантну терапію тамоксифеном протягом 2–3 років. Лікування поширеного раку молочної залози з позитивними показниками рецепторів гормонів у жінок у постменопаузальному періоді. Період вагітності або годування груддю. Відома підвищена чутливість до анастрозолу або до будь-якої з допоміжних речовин лікарського засобу"
Анатеро (Anatero),"Ад’ювантне лікування інвазивного раку молочної залози з позитивними показниками рецепторів гормонів на ранніх стадіях у жінок у постменопаузальному періоді; ад’ювантне лікування інвазивного раку молочної залози з позитивними показниками рецепторів гормонів на ранніх стадіях у жінок у постменопаузальному періоді, яким було проведено ад’ювантну терапію тамоксифеном протягом 2–3 років; лікування поширеного раку молочної залози з позитивними показниками рецепторів гормонів у жінок у постменопаузальному періоді. Ад’ювантне лікування інвазивного раку молочної залози з позитивними показниками рецепторів гормонів на ранніх стадіях у жінок у постменопаузальному періоді; ад’ювантне лікування інвазивного раку молочної залози з позитивними показниками рецепторів гормонів на ранніх стадіях у жінок у постменопаузальному періоді, яким було проведено ад’ювантну терапію тамоксифеном протягом 2–3 років; лікування поширеного раку молочної залози з позитивними показниками рецепторів гормонів у жінок у постменопаузальному періоді. Ад’ювантне лікування інвазивного раку молочної залози з позитивними показниками рецепторів гормонів на ранніх стадіях у жінок у постменопаузальному періоді; ад’ювантне лікування інвазивного раку молочної залози з позитивними показниками рецепторів гормонів на ранніх стадіях у жінок у постменопаузальному періоді, яким було проведено ад’ювантну терапію тамоксифеном протягом 2–3 років; лікування поширеного раку молочної залози з позитивними показниками рецепторів гормонів у жінок у постменопаузальному періоді. АНАТЕРО протипоказаний пацієнткам: у період вагітності або годування груддю; з відомою гіперчутливістю до анастрозолу або до будь-якої з допоміжних речовин"
АНАУРАН (ANAURAN),Гострий або хронічний отит. Гострий або хронічний отит. Гострий або хронічний отит. Гіперчутливість до будь-якого компонента препарату i до інших сполук зі спорідненою хімічною структурою. Перфорація барабанної перетинки (ризик розвитку ототоксичності). Гіперчутливість до амідних місцевоанестезуючих лікарських засобів
Анаферон таблетки (Anaferon tablets ),"Анаферон показаний для профілактики та лікування гострих респіраторних вірусних інфекцій (ГРВІ), у тому числі грипу. Рекомендовано призначати Анаферон у складі комплексної терапії інфекцій, викликаних герпесвірусами, таких як інфекційний мононуклеоз, вітряна віспа, лабіальний герпес, генітальний герпес. Застосовують у комплексній терапії і профілактиці рецидивів хронічної герпесвірусної інфекції, зокрема лабіального та генітального герпесу. Анаферон призначають для комплексної терапії і профілактики інших гострих та хронічних вірусних інфекцій, зумовлених вірусом кліщового енцефаліту, ентеровірусом, ротавірусом, коронавірусом, каліцивірусом. Препарат Анаферон показаний для застосування у складі комплексної терапії вторинних імунодефіцитних станів різної етіології, у тому числі профілактики та лікування ускладнень вірусних і бактеріальних інфекцій. Анаферон показаний для профілактики та лікування гострих респіраторних вірусних інфекцій (ГРВІ), у тому числі грипу. Рекомендовано призначати Анаферон у складі комплексної терапії інфекцій, викликаних герпесвірусами, таких як інфекційний мононуклеоз, вітряна віспа, лабіальний герпес, генітальний герпес. Застосовують у комплексній терапії і профілактиці рецидивів хронічної герпесвірусної інфекції, зокрема лабіального та генітального герпесу. Анаферон призначають для комплексної терапії і профілактики інших гострих та хронічних вірусних інфекцій, зумовлених вірусом кліщового енцефаліту, ентеровірусом, ротавірусом, коронавірусом, каліцивірусом. Препарат Анаферон показаний для застосування у складі комплексної терапії вторинних імунодефіцитних станів різної етіології, у тому числі профілактики та лікування ускладнень вірусних і бактеріальних інфекцій. Анаферон показаний для профілактики та лікування гострих респіраторних вірусних інфекцій (ГРВІ), у тому числі грипу. Рекомендовано призначати Анаферон у складі комплексної терапії інфекцій, викликаних герпесвірусами, таких як інфекційний мононуклеоз, вітряна віспа, лабіальний герпес, генітальний герпес. Застосовують у комплексній терапії і профілактиці рецидивів хронічної герпесвірусної інфекції, зокрема лабіального та генітального герпесу. Анаферон призначають для комплексної терапії і профілактики інших гострих та хронічних вірусних інфекцій, зумовлених вірусом кліщового енцефаліту, ентеровірусом, ротавірусом, коронавірусом, каліцивірусом. Препарат Анаферон показаний для застосування у складі комплексної терапії вторинних імунодефіцитних станів різної етіології, у тому числі профілактики та лікування ускладнень вірусних і бактеріальних інфекцій. Застосування Анаферон таблетки препарат Анаферон приймають внутрішньо по 1 таблетці за 0,5 год до або через 0,5 год після прийому їжі. Таблетка має повністю розчинитися у роті (не рекомендується розжовувати та ковтати). Грип, ГРВІ, герпесвірусні інфекції, нейроінфекції, кишкові інфекції. Лікування слід починати якомога раніше при появі перших ознак гострої вірусної інфекції за такою схемою: 1. Перші 2 год Анаферон приймають кожні 30 хв (5 прийомів), потім протягом 1-ї доби — ще 3 таблетки через рівні проміжки часу (усього 8 таблеток). 2. Починаючи з 2-ї доби й надалі препарат приймають по 1 таблетці 3 рази на добу до повного одужання. За відсутності поліпшення стану на 3-й день лікування ГРВІ та грипу Анафероном необхідно звернутися за консультацією до лікаря. Для профілактики ГРВІ приймають по 1 таблетці 1 раз на добу щоденно 1–3 міс (протягом усього епідемічного сезону). Генітальний герпес. При гострих симптомах генітального герпесу препарат Анаферон приймають через рівні проміжки часу за такою схемою: 1–3-й день — по 1 таблетці 8 разів на добу, у подальшому – по 1 таблетці 4 рази на добу протягом не менше 3 тиж. У разі профілактики рецидивів хронічної герпесвірусної інфекції препарат Анаферон приймають по 1 таблетці 1 раз на добу. Тривалість профілактичного курсу визначається лікарем для кожного пацієнта індивідуально і може досягати 6 міс. Для лікування та профілактики імунодефіцитних станів препарат Анаферон приймають по 1 таблетці на добу"
Анаферон дитячий (Anaferon children),"У складі комплексної терапії і для профілактики гострих респіраторних вірусних інфекцій (у тому числі грипу). Комплексна терапія інфекцій, спричинених герпесвірусами (інфекційний мононуклеоз, вітряна віспа, лабіальний герпес, генітальний герпес). Комплексна терапія і профілактика рецидивів хронічної герпесвірусної інфекції, у тому числі лабіального та генітального герпесу. Комплексна терапія і профілактика інших гострих та хронічних вірусних інфекцій, спричинених вірусом кліщового енцефаліту, ентеровірусом, ротавірусом, коронавірусом, каліцивірусом. Застосовується у складі комплексної терапії бактеріальних інфекцій. Комплексна терапія вторинних імунодефіцитних станів різної етіології, у тому числі профілактика та лікування ускладнень вірусних і бактеріальних інфекцій. У складі комплексної терапії і для профілактики гострих респіраторних вірусних інфекцій (у тому числі грипу). Комплексна терапія інфекцій, спричинених герпесвірусами (інфекційний мононуклеоз, вітряна віспа, лабіальний герпес, генітальний герпес). Комплексна терапія і профілактика рецидивів хронічної герпесвірусної інфекції, у тому числі лабіального та генітального герпесу. Комплексна терапія і профілактика інших гострих та хронічних вірусних інфекцій, спричинених вірусом кліщового енцефаліту, ентеровірусом, ротавірусом, коронавірусом, каліцивірусом. Застосовується у складі комплексної терапії бактеріальних інфекцій. Комплексна терапія вторинних імунодефіцитних станів різної етіології, у тому числі профілактика та лікування ускладнень вірусних і бактеріальних інфекцій. У складі комплексної терапії і для профілактики гострих респіраторних вірусних інфекцій (у тому числі грипу). Комплексна терапія інфекцій, спричинених герпесвірусами (інфекційний мононуклеоз, вітряна віспа, лабіальний герпес, генітальний герпес). Комплексна терапія і профілактика рецидивів хронічної герпесвірусної інфекції, у тому числі лабіального та генітального герпесу. Комплексна терапія і профілактика інших гострих та хронічних вірусних інфекцій, спричинених вірусом кліщового енцефаліту, ентеровірусом, ротавірусом, коронавірусом, каліцивірусом. Застосовується у складі комплексної терапії бактеріальних інфекцій. Комплексна терапія вторинних імунодефіцитних станів різної етіології, у тому числі профілактика та лікування ускладнень вірусних і бактеріальних інфекцій. Підвищена індивідуальна чутливість до компонентів препарату"
АНГЕЛОН,"Застосовувати у комплексній терапії: ішемічної хвороби серця, стабільної та нестабільної стенокардії, стенокардії напруження та стенокардії із зареєстрованим спазмом судин; перенесеного у минулому інфаркті міокарда, постінфарктного міокардіального синдрома (дифузного та вогнищевого кардіосклерозу), ішемічної кардіоміопатії; порушень серцевого ритму; нейроциркуляторної астенії, кардіогенного неврозу; кардіоміопатій; міокардитів; синдрому втомлюваності. Застосовувати у комплексній терапії: ішемічної хвороби серця, стабільної та нестабільної стенокардії, стенокардії напруження та стенокардії із зареєстрованим спазмом судин; перенесеного у минулому інфаркті міокарда, постінфарктного міокардіального синдрома (дифузного та вогнищевого кардіосклерозу), ішемічної кардіоміопатії; порушень серцевого ритму; нейроциркуляторної астенії, кардіогенного неврозу; кардіоміопатій; міокардитів; синдрому втомлюваності. Застосовувати у комплексній терапії: ішемічної хвороби серця, стабільної та нестабільної стенокардії, стенокардії напруження та стенокардії із зареєстрованим спазмом судин; перенесеного у минулому інфаркті міокарда, постінфарктного міокардіального синдрома (дифузного та вогнищевого кардіосклерозу), ішемічної кардіоміопатії; порушень серцевого ритму; нейроциркуляторної астенії, кардіогенного неврозу; кардіоміопатій; міокардитів; синдрому втомлюваності. Підвищена чутливість до лікарського засобу та його компонентів; гострий інфаркт міокарда; кардіогенний та інші види шоку; обструктивні захворювання бронхолегеневої системи; тяжкі форми бронхіальної астми; синоатріальна блокада; атріовентрикулярна блокада ІІ–ІІІ ступеня; гіперкаліємія, гіпермагніємія; геморагічний інсульт"
Ангельмекс (Angelmex),"Кишкові форми гельмінтозів та шкірний синдром Larva Migrans (короткотривале лікування малими дозами): ентеробіоз, анкілостомоз та некатороз, гіменолепідоз, теніоз, стронгілоїдоз, аскаридоз, трихоцефальоз, клонорхоз, опістархоз, лямбліоз у дітей. Системні гельмінтні інфекції (тривале лікування високими дозами): Цистний ехінококоз (спричинений Echinococcus granulosus) : при неможливості хірургічного втручання; перед хірургічним втручанням; після операції, якщо передопераційне лікування було коротким, якщо спостерігається розповсюдження гельмінтів або під час операції були знайдені живі форми; після проведення черезшкірного дренажу цист з діагностичною або терапевтичною метою. Альвеолярний ехінококоз (спричинений Echinococcus multilocularis ): при неоперабельному захворюванні, зокрема у випадках місцевих або віддалених метастазів; після паліативного хірургічного втручання; після радикального хірургічного втручання або пересадження печінки. Нейроцистицеркоз (спричинений личинками Taenia solium ): за наявності одиничних або множинних цист або гранулематозного ураження мозку; при арахноїдальних або внутрішньошлуночкових цистах; при рацемозних цистах. Капіляріоз (спричинений Capillaria philippinensis ), гнатостомоз (спричинений Gnathostoma spinigerum та спорідненими видами), трихінельоз (спричинений Trichinella spiralis та Т.pseudospiralis ), токсокароз (спричинений Toxocara canis та спорідненими видами). Кишкові форми гельмінтозів та шкірний синдром Larva Migrans (короткотривале лікування малими дозами): ентеробіоз, анкілостомоз та некатороз, гіменолепідоз, теніоз, стронгілоїдоз, аскаридоз, трихоцефальоз, клонорхоз, опістархоз, лямбліоз у дітей. Системні гельмінтні інфекції (тривале лікування високими дозами): Цистний ехінококоз (спричинений Echinococcus granulosus) : при неможливості хірургічного втручання; перед хірургічним втручанням; після операції, якщо передопераційне лікування було коротким, якщо спостерігається розповсюдження гельмінтів або під час операції були знайдені живі форми; після проведення черезшкірного дренажу цист з діагностичною або терапевтичною метою. Альвеолярний ехінококоз (спричинений Echinococcus multilocularis ): при неоперабельному захворюванні, зокрема у випадках місцевих або віддалених метастазів; після паліативного хірургічного втручання; після радикального хірургічного втручання або пересадження печінки. Нейроцистицеркоз (спричинений личинками Taenia solium ): за наявності одиничних або множинних цист або гранулематозного ураження мозку; при арахноїдальних або внутрішньошлуночкових цистах; при рацемозних цистах. Капіляріоз (спричинений Capillaria philippinensis ), гнатостомоз (спричинений Gnathostoma spinigerum та спорідненими видами), трихінельоз (спричинений Trichinella spiralis та Т.pseudospiralis ), токсокароз (спричинений Toxocara canis та спорідненими видами). Кишкові форми гельмінтозів та шкірний синдром Larva Migrans (короткотривале лікування малими дозами): ентеробіоз, анкілостомоз та некатороз, гіменолепідоз, теніоз, стронгілоїдоз, аскаридоз, трихоцефальоз, клонорхоз, опістархоз, лямбліоз у дітей. Системні гельмінтні інфекції (тривале лікування високими дозами): Цистний ехінококоз (спричинений Echinococcus granulosus) : при неможливості хірургічного втручання; перед хірургічним втручанням; після операції, якщо передопераційне лікування було коротким, якщо спостерігається розповсюдження гельмінтів або під час операції були знайдені живі форми; після проведення черезшкірного дренажу цист з діагностичною або терапевтичною метою. Альвеолярний ехінококоз (спричинений Echinococcus multilocularis ): при неоперабельному захворюванні, зокрема у випадках місцевих або віддалених метастазів; після паліативного хірургічного втручання; після радикального хірургічного втручання або пересадження печінки. Нейроцистицеркоз (спричинений личинками Taenia solium ): за наявності одиничних або множинних цист або гранулематозного ураження мозку; при арахноїдальних або внутрішньошлуночкових цистах; при рацемозних цистах. Капіляріоз (спричинений Capillaria philippinensis ), гнатостомоз (спричинений Gnathostoma spinigerum та спорідненими видами), трихінельоз (спричинений Trichinella spiralis та Т.pseudospiralis ), токсокароз (спричинений Toxocara canis та спорідненими видами). Підвищена чутливість до альбендазолу та до інших компонентів препарату, до інших похідних бензімідазолу. Жінкам, які планують завагітніти. Жінкам репродуктивного віку слід застосовувати ефективні негормональні контрацептивні засоби під час та впродовж 1 місяця після лікування препаратом"
Ангі Септ Др. Тайсс (Dr. Theiss Angi sept),"Для місцевого лікування інфекційно-запальних захворювань ротової порожнини та глотки з такими симптомами, як біль у горлі, захриплість, труднощі при ковтанні. Для місцевого лікування інфекційно-запальних захворювань ротової порожнини та глотки з такими симптомами, як біль у горлі, захриплість, труднощі при ковтанні. Для місцевого лікування інфекційно-запальних захворювань ротової порожнини та глотки з такими симптомами, як біль у горлі, захриплість, труднощі при ковтанні. Підвищена чутливість до активних речовин, рослин родини зонтичних, що містять анетол (фенхель, кмин, селера, коріандр та кріп), або будь-яких допоміжних речовин. Не застосовувати дітям віком до 6 років"
Ангі.нет (Angi.net),"Для короткотривалого симптоматичного полегшення болю в горлі у дорослих та дітей віком від 12 років. Для короткотривалого симптоматичного полегшення болю в горлі у дорослих та дітей віком від 12 років. Для короткотривалого симптоматичного полегшення болю в горлі у дорослих та дітей віком від 12 років. Підвищена чутливість до флурбіпрофену або до будь-якої з допоміжних речовин лікарського засобу. Наявність в анамнезі реакцій підвищеної чутливості (наприклад, бронхіальна астма, бронхоспазм, риніт, ангіоневротичний набряк або кропив’янка) після прийому ацетилсаліцилової кислоти або інших нестероїдних протизапальних засобів (НПЗЗ). Рецидивна виразкова хвороба/кровотеча в анамнезі або у фазі загострення (два або більше епізодів, підтверджених характерними клінічними проявами) та виразки кишечника. Шлунково-кишкова кровотеча або перфорації в анамнезі, коліт з тяжким перебігом, геморагічний або гемопоетичний розлади, пов’язані з попередньою терапією НПЗЗ. Третій триместр вагітності. Тяжка серцева недостатність, тяжка ниркова недостатність або тяжка печінкова недостатність"
Ангі.нет спрей,"Застосовувати для симптоматичного лікування подразнень і запалень ротоглотки; болю, зумовленого гінгівітом, стоматитом, фарингітом; у стоматології — після екстракції зуба або з профілактичною метою. Застосовувати для симптоматичного лікування подразнень і запалень ротоглотки; болю, зумовленого гінгівітом, стоматитом, фарингітом; у стоматології — після екстракції зуба або з профілактичною метою. Застосовувати для симптоматичного лікування подразнень і запалень ротоглотки; болю, зумовленого гінгівітом, стоматитом, фарингітом; у стоматології — після екстракції зуба або з профілактичною метою. Підвищена чутливість до діючої речовини або до інших компонентів лікарського засобу"
